Phase I,Phase II,Random
-34.422738835118054,-38.01430449377958,-18.83175374034505
-36.42096137673687,-38.01430449377958,-18.83175374034505
-37.24223550491935,-38.28301733829857,-18.952031001915806
-37.61319603462437,-38.48436013230841,-19.124776535071007
-37.79735926990942,-38.63549103329925,-19.36467667525273
-37.89573405746989,-38.74980585027329,-19.685791227296242
-37.95108674378337,-38.83737015914338,-20.099417278965287
-37.98335577516414,-38.90555155435035,-20.612362935141405
-38.002620566308366,-38.95964912225352,-21.22622981714197
-38.01430449377958,-39.00343275712587,-21.937652107150434
,-39.03956981613575,-22.73887061905144
,-39.0699455087057,-23.618048536202828
,-39.095896407119,-24.559365177398817
,-39.11837655663481,-25.54333981676217
,-39.1380744695241,-26.54786136551181
,-39.15549391942911,-27.549910419451393
,-39.171010121249346,-28.52757617504612
,-39.1849082818236,-29.461832726259583
,-39.19741006015138,-30.337726418824722
,-39.208691552444606,-31.144859604557688
,-39.21889605494394,-31.877279247826674
,-39.22814235036387,-32.5329546624839
,-39.236531015980475,-33.11302539484027
,-39.24414848868857,-33.62099214849335
,-39.25107014189779,-34.06194406868628
,-39.25736231741709,-34.44189473693545
,-39.26308394038622,-34.7672509411625
,-39.268287811895675,-35.044418749174625
,-39.27302131092065,-35.27952995548587
,-39.277327175751644,-35.47827348714772
,-39.28124416781819,-35.645803509792074
,-39.284807387624575,-35.78670587586176
,-39.28804864031511,-35.905003590236475
,-39.290996942204075,-36.00418659079887
,-39.293678636896566,-36.08725642106642
,-39.29611774414288,-36.15677647395444
,-39.29833605715022,-36.21492414035661
,-39.30035346094968,-36.26354087476039
,-39.302188045967604,-36.304178924509074
,-39.30385628238355,-36.33814339656761
,-39.30537321072874,-36.36652910660082
,-39.306752475021746,-36.390253308332184
,-39.3080065213947,-36.410083455587475
,-39.30914668884925,-36.42666121201659
,-39.310183270338506,-36.44052266697784
,-39.31112563946548,-36.452115555642145
,-39.31198234050281,-36.46181376520119
,-39.312761140545994,-36.469929405328266
,-39.31346911803278,-36.47672304884094
,-39.31411268587891,-36.482412220237684
,-39.31469770024254,-36.48717853824251
,-39.315229481715264,-36.49117366127584
,-39.31571286275256,-36.4945242418488
,-39.316152247094266,-36.49733607051445
,-39.3165516375282,-36.499697515511855
,-39.31691466636663,-36.50168242223709
,-39.31724464327444,-36.50335250019474
,-39.31754457492314,-36.50475932842322
,-39.31781719817164,-36.50594602870582
,-39.318064996470554,-36.50694865333703
,-39.31829022827795,-36.50779734949914
,-39.31849495508717,-36.508517339371615
,-39.31868103501308,-36.509129709572754
,-39.31885017162835,-36.50965211258072
,-39.31900390752654,-36.51009930602328
,-39.31914364152679,-36.51048364820442
,-39.319270652827846,-36.51081547990955
,-39.319386099381276,-36.511103454036515
,-39.319491035330394,-36.511354820963625
,-39.319586411600326,-36.51157563100919
,-39.31967310681513,-36.511770968291
,-39.319751907862035,-36.51194507093806
,-39.31982353337937,-36.51210151105285
,-39.31988863731553,-36.51224326323562
,-39.31994781306763,-36.51237282259097
,-39.32000160165148,-36.51249227118541
,-39.320050495955094,-36.51260337136465
,-39.3200949380947,-36.5127075828141
,-39.320135333490256,-36.51280613479666
,-39.320172052384805,-36.51290005314571
,-39.32020542782075,-36.51299020548217
,-39.320235766277456,-36.51307731664152
,-39.320263342812375,-36.51316199023736
,-39.32028841041642,-36.51324474335622
,-39.320311196642855,-36.513325993361725
,-39.32033190810519,-36.513406100565994
,-39.32035073549621,-36.513485365111336
,-39.32036784910393,-36.513564052026624
,-39.32038340474232,-36.513642368520884
,-39.320397545668335,-36.513720501789344
,-39.32041039900263,-36.51379859295967
,-39.320422082518505,-36.513876789389045
,-39.32043270312653,-36.513955185757304
,-39.320442357146014,-36.51403389012199
,-39.32045113251621,-36.51411296389455
,-39.32045911019733,-36.51419248737329
,-39.320466361666575,-36.51427251413516
,-39.32047295229136,-36.51435310495791
,-39.32047894375206,-36.514434296750196
,-39.320484390126175,-36.51451613631857
,-39.320489341265684,-36.51459864824682
,-39.32049384166377,-36.51468186931231
,-39.320497933087665,-36.51476583229706
,-39.32050165189789,-36.514850550000304
,-39.32050503233975,-36.51493604905695
,-39.32050810485473,-36.5150223538429
,-39.320510897760855,-36.515109486866024
,-39.32051343706181,-36.51519746911287
,-39.320515745060945,-36.51528631990387
,-39.32051784323691,-36.515376040048416
,-39.32051975043781,-36.51546666427765
,-39.320521484308564,-36.51555820913849
,-39.32052306048615,-36.515650672485464
,-39.32052449341418,-36.51574408729698
,-39.320525795856526,-36.515838468308154
,-39.320526979573835,-36.51593382994758
,-39.32052805585035,-36.51603018617324
,-39.32052903396072,-36.5161275508247
,,-36.516225937338525
,,-36.516325377764595
,,-36.51642586696245
,,-36.51652743680809
,,-36.51663010069988
,,-36.51673387204417
,,-36.516838783246676
,,-36.516944828771564
,,-36.517052041296616
,,-36.51716043466458
,,-36.51727002255629
,,-36.51738083854191
,,-36.51749287722019
,,-36.51760617239696
,,-36.51772075860672
,,-36.51783663076299
,,-36.51795382377823
,,-36.518072352908725
,,-36.51819225402696
,,-36.51831354291515
,,-36.51843623578625
,,-36.51856034895387
,,-36.51868591961523
,,-36.51881296488009
,,-36.51894150185674
,,-36.519071569264106
