Phase I,Phase II,Random
-12.319781180574646,-12.2315114371798,-8.934597192087578
-12.42108024011715,-12.2315114371798,-8.934597192087578
-12.380088807411742,-12.253003842152026,-9.00082313887276
-12.329728494889407,-12.272759429096052,-9.066597718417704
-12.292374713322172,-12.2909061360156,-9.13188874825112
-12.267592959938423,-12.307565277196332,-9.196667882609123
-12.251741568968754,-12.32285087004969,-9.260909721508927
-12.241736796459223,-12.336870114619954,-9.324591972918185
-12.235452552506683,-12.349723306285451,-9.387695111377456
-12.2315114371798,-12.361503927723561,-9.450202025352905
,-12.372299233244261,-9.51209792355563
,-12.38219002791543,-9.573369854435686
,-12.39125140117898,-9.634006571418647
,-12.39955267987143,-9.693998138193319
,-12.407157837307668,-9.75333585210095
,-12.41412600178588,-9.81201185841238
,-12.420511401182061,-9.870019028260991
,-12.426364121757974,-9.92735073840409
,-12.431729916663807,-9.984000660194363
,-12.436650922414016,-10.03996260046262
,-12.441165630170316,-10.095230366061624
,-12.445309321443148,-10.149797683863197
,-12.449114337594956,-10.203658043952387
,-12.452610105178703,-10.256804612617833
,-12.455823569970587,-10.309230297512482
,-12.458779326446138,-10.360927543666685
,-12.461499834495822,-10.411888468066326
,-12.464005555582325,-10.462104857046802
,-12.466315125972004,-10.511568044484902
,-12.468445564403044,-10.560269208648869
,-12.47041235363377,-10.608199223091248
,-12.472229564095725,-10.65534887296653
,-12.473910060500332,-10.701708805040816
,-12.475465546382326,-10.747269664164289
,-12.476906664095138,-10.792022365757447
,-12.478243087661319,-10.83595806067289
,-12.47948364926666,-10.879068283710456
,-12.480636394137115,-10.921345044214753
,-12.481708618398946,-10.962780815218446
,-12.482706983657073,-11.003369082862644
,-12.483637524984264,-11.043103956617745
,-12.484505791899126,-11.08198058837239
,-12.485316820578362,-11.119995166286339
,-12.486075168111956,-11.157144937173069
,-12.486785026107992,-11.193428498161996
,-12.487450197752578,-11.22884548712366
,-12.488074157795463,-11.263396998545334
,-12.488660062127055,-11.297085351160892
,-12.489210831045309,-11.32991415999887
,-12.48972907317676,-11.361888568062982
,-12.490217224052431,-11.393014978618002
,-12.490677487689434,-11.423301020018371
,-12.49111188517018,-11.452755864270785
,-12.491522251215132,-11.48138964425113
,-12.491910268837486,-11.50921375285052
,-12.492277513544986,-11.536240908257426
,-12.492625390875638,-11.562484599856736
,-12.492955221589948,-11.587959508424737
,-12.493268194872025,-11.612681139964096
,-12.493565403312445,-11.636665550004755
,-12.493847877449417,-11.659929661252107
,-12.494116536262174,-11.682491304018845
,-12.494372244631155,-11.70436817156107
,-12.494615803827912,-11.725578813270308
,-12.494847943270663,-11.746142086526461
,-12.495069343826504,-11.766076709410665
,-12.495280620425946,-11.785402011328358
,-12.495482373708874,-11.804137121870564
,-12.495675121278406,-11.822301103358047
,-12.495859385214686,-11.839912926606171
,-12.49603561590969,-11.856991404402436
,-12.496204248097786,-11.873555371527173
,-12.496365687335759,-11.889622971664666
,-12.49652030120164,-11.90521224623592
,-12.496668447008387,-11.920340691310656
,-12.496810448201767,-11.935025415996872
,-12.49694662060615,-11.949283207056565
,-12.497077237454349,-11.963130502338986
,-12.497202571308128,-11.976582722495024
,-12.497322884646637,-11.989655127602552
,-12.497438398056326,-12.002362158823368
,-12.49754934987991,-12.01471816599586
,-12.497655934558702,-12.026736528683866
,-12.497758358362972,-12.038430238786507
,-12.497856813362176,-12.049811668810754
,-12.49795146547662,-12.060892781027304
,-12.49804248166835,-12.071684654992717
,-12.498130028643885,-12.08219834439945
,-12.49821424899341,-12.092444024894814
,-12.498295285558573,-12.102431323057933
,-12.498373266654857,-12.112169641968885
,-12.498448323791859,-12.121667835668184
,-12.498520574006424,-12.130934203421612
,-12.498590136605625,-12.139976552422898
,-12.498657119173792,-12.148802417202884
,-12.49872162332571,-12.157418988063789
,-12.498783754837199,-12.165832867786238
,-12.498843600134125,-12.174050449753407
,-12.498901256517149,-12.18207769513785
,-12.49895680332399,-12.189920394012155
,-12.499010330304817,-12.197583792760534
,-12.499061910398519,-12.205073027857646
,-12.499111620230206,-12.2123928731517
,-12.499159527055568,-12.219548002765343
,-12.499205708400492,-12.226542656434079
,-12.499250219998792,-12.233380853142576
,-12.499293134215355,-12.240066651343447
,-12.499334502228683,-12.246603746728427
,-12.499374385683016,-12.252995654965597
,-12.499412843730425,-12.259245678392746
,-12.499449927657357,-12.265357097033327
,-12.499485687019956,-12.271332902479068
,-12.499520169670905,-12.277176056993381
,-12.499553427177725,-12.282889399900185
,-12.499585498682727,-12.288475781113217
,-12.499616432478362,-12.293937632710723
,-12.499646264897088,-12.299277443545568
,-12.4996750412089,-12.304497725735516
,-12.499702800154479,-12.309600885692008
,-12.499729574186036,-12.314589129672964
,-12.499755404457103,-12.31946469771321
,-12.499780321178424,-12.324229635596131
,-12.499804358254423,-12.328886169751577
,-12.49982754842425,-12.333436222082883
,-12.49984991903711,-12.337881899239203
,-12.499871500863039,-12.342225117994438
,-12.499892323747739,-12.3464677583409
,-12.499912416372576,-12.350611645908085
,-12.499931802476741,-12.354658681243572
,-12.499950504979553,-12.358610608092627
,-12.499968550084793,-12.362469253084152
,-12.49998596339038,-12.366236276922596
,-12.500002765485277,-12.369913544233842
,-12.500018980100261,-12.373502654901714
,-12.50003462660902,-12.377005180092999
,-12.500049723830767,-12.380422886223895
,-12.500064293588638,-12.383757391882218
,-12.500078353274432,-12.387010295087267
,-12.500091919936642,-12.390183165616122
,-12.500105013487492,-12.39327755012041
,-12.500117649645663,-12.396294965793485
,-12.500129843832603,-12.399237010031754
,-12.500141611015069,-12.402105154923369
,-12.500152968844993,-12.404900852528595
,-12.500163928172732,-12.407625626563625
,-12.50017450568844,-12.41028088699701
,-12.500184714322415,-12.412868111273797
,-12.500194566779559,-12.415388663457168
,-12.50020407554595,-12.417843982168137
,-12.500213252396748,-12.420235387507057
,-12.500222108908927,-12.422564367470125
,-12.500230658853546,-12.424832201118237
,-12.50023891045931,-12.427040151036106
,-12.500246874262755,-12.42918963400665
,-12.500254560310795,-12.431281875153724
,-12.500261978651341,-12.433318163125305
,-12.500269138700311,-12.435299766082721
,-12.50027604988567,-12.437227848063428
,-12.50028272102556,-12.439103722691954
,-12.500289160808334,-12.440928515903298
,-12.50029537779291,-12.442703495207
,-12.50030137768729,-12.444429749146707
,-12.500307168481168,-12.44610850364241
,-12.500312757901897,-12.447740810231059
,-12.500318153422118,-12.449327777894828
,-12.500323362266387,-12.45087057119128
,-12.500328389337874,-12.452370185494077
,-12.500333243539679,-12.45382767099367
,-12.50033792737556,-12.455244062131547
,-12.500342449329057,-12.456620442180947
,-12.500346815718508,-12.457957735629215
,-12.50035103047487,-12.459256985399081
,-12.500355097593735,-12.460519081359475
,-12.500359024675356,-12.461744962985348
,-12.500362815251393,-12.462935616107396
,-12.50036647494433,-12.464091879673418
,-12.50037000706071,-12.465214702231776
,-12.500373416686937,-12.466304888221261
,-12.500376708728071,-12.467363349648195
,-12.500379886259717,-12.468390857187321
,-12.500382953927382,-12.469388229456603
,-12.500385914611678,-12.47035632496233
,-12.500388772710185,-12.47129586681458
,-12.500391532459295,-12.472207622619685
,-12.500394196424987,-12.473092399125044
,-12.500396768615483,-12.473950873451638
,-12.500399251427918,-12.474783765111987
,-12.500401648652693,-12.47559177794567
,-12.500403962629463,-12.476375599221374
,-12.500406196835252,-12.477135849648738
,-12.500408353354729,-12.477873240207218
,-12.500410435573626,-12.478588363236765
,-12.500412445432321,-12.47928189858841
,-12.500414384931704,-12.47995441100953
,-12.500416258383899,-12.480606454000478
,-12.500418066245977,-12.481238664539477
,-12.500419811573925,-12.481851568603844
,-12.500421497122177,-12.482445729766251
,-12.500423124442483,-12.483021695084524
,-12.500424695145053,-12.483579955386386
,-12.50042621178022,-12.48412103542685
,-12.500427675841625,-12.484645446069555
,-12.500429089730906,-12.485153643543912
,-12.500430453667263,-12.485646115527661
,-12.500431771195577,-12.486123296742685
,-12.500433043433992,-12.486585653293142
,-12.500434271638863,-12.487033637503217
,-12.50043545696484,-12.487467653050494
,-12.500436601464045,-12.487888093632773
,-12.500437706274656,-12.488295381565617
,-12.5004387733255,-12.488689891035747
,-12.50043980366477,-12.489072023975023
,-12.500440798249214,-12.489442135725517
,,-12.489800573316046
,,-12.490147710248241
,,-12.49048387647831
