number,value,datetime_start,datetime_complete,duration,params_epochs,params_fixed_param_dim,params_loss_type,params_lr_lstm,params_lr_mapping,params_steps_recurrent_loop_train,state
0,97.480862400126,2025-08-04 22:19:07.347223,2025-08-04 22:39:23.097478,0 days 00:20:15.750255,14,26,observed improvement,0.009133325000257009,0.008534191291053197,24,COMPLETE
1,34.21063931287745,2025-08-04 22:39:23.098150,2025-08-04 22:50:06.901382,0 days 00:10:43.803232,9,38,observed improvement,0.006996234803407283,0.0001485523484287963,13,COMPLETE
2,32.99067924769142,2025-08-04 22:50:06.901942,2025-08-04 23:00:51.563666,0 days 00:10:44.661724,20,16,observed improvement,0.008832159490134574,0.04170718525945274,16,COMPLETE
3,15.875037305644263,2025-08-04 23:00:51.564339,2025-08-04 23:14:53.932351,0 days 00:14:02.368012,9,26,weighted,0.002145399128492878,0.00230461864555723,27,COMPLETE
4,65.7365189388001,2025-08-04 23:14:53.932922,2025-08-04 23:37:42.183085,0 days 00:22:48.250163,18,93,observed improvement,0.005261513455735224,0.0018020493156068892,6,COMPLETE
