LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,QAOA Random,FWP-QAOA,QAOA after FWP
8.70168043910326,8.56406379882301,5.621944429509234,6.758152493123838,7.081724184350001,6.734197926518426,10.986814422318082,13.533773764784733,13.623778153646413
7.941435174111903,8.56406379882301,5.7234174498564245,6.758152493123838,6.668300851682411,6.734197926518426,10.986814422318082,12.141598463445142,13.623778153646413
7.270244066548514,8.341670286147401,6.0799185804196165,6.54402734588147,6.6384225950194935,6.598726113507534,10.98481934776617,11.185302287172107,13.437822213480404
7.157305078331755,8.130713284137999,6.341791448745002,6.3432513246665305,6.65920646262417,6.470954786127003,10.982535375837987,11.708109900704837,13.22309076267716
7.351388412684614,7.9314728513369825,6.506685228994325,6.156511961241685,6.683164832471213,6.351125276795524,10.97992043223921,11.029426040801422,12.977626389900891
7.680459455534024,7.744088116689154,6.60905826920682,5.98421460355034,6.701863294832866,6.239341652914205,10.976926462961764,12.13284029407047,12.700344362347884
8.011429883558542,7.56857513066468,6.673365702729874,5.826480656207011,6.715078865018573,6.1355769368282935,10.973498618604912,10.601954050869006,12.391389593606542
8.27241318217251,7.4048400575903095,6.714362967741044,5.683161391998809,6.724089421833001,6.039683162785636,10.969574341838248,13.355497533890947,12.052472869173592
8.451006330351952,7.252689324960354,6.7408482671208,5.553863055351749,6.730146305461366,5.951408180771214,10.96508234935618,11.124675723582962,11.687114191979031
8.56406379882301,7.111836429902596,6.758152493123838,5.437986207817693,6.734197926518426,5.870414179013699,10.959941484604322,13.623778153646413,11.300717213902004
,6.981911611251534,,5.334767097192218,,5.796297713362946,10.954059466377279,,10.900407534561396
,6.862470699156336,,5.243327376908648,,5.728609222494079,10.947331505030954,,10.494601559496461
,6.753005732457144,,5.162715340430017,,5.666871081789387,10.939638779026597,,10.092343738903207
,6.652958280819238,,5.091949167664266,,5.61059435434845,10.930846801235473,,9.702500635679835
,6.561731830115191,,5.030049806777894,,5.559291165972198,10.920803663006902,,9.332966907376697
,6.478706204388944,,4.97606877192609,,5.512486618851882,10.90933818674744,,8.990023669713826
,6.4032507383058626,,4.929107359106558,,5.469726277264473,10.896258011414517,,8.677962050528535
,6.334736505212115,,4.888329162545065,,5.430582554820219,10.881347630165735,,8.39900475062574
,6.272546372199034,,4.8529691719982155,,5.394658255829896,10.864366533354556,,8.153491880272949
,6.216084899223448,,4.822335536886275,,5.361588587598394,10.845047414655898,,7.940239452284214
,6.164784051579527,,4.795810249313504,,5.331041747510224,10.823094676128859,,7.756977374611727
,6.118108793044452,,4.772844978586724,,5.302718933002835,10.798183293448826,,7.600776543575288
,6.07556039151327,,4.752957924657813,,5.276352964077615,10.769958328194134,,7.4684131815130055
,6.036678252269788,,4.735727790368246,,5.251706319833352,10.738035265904891,,7.356645105987351
,6.001039725461509,,4.720788275240009,,5.228569639346009,10.702001437346407,,7.2623987046340694
,5.9682606522325425,,4.70782187730997,,5.2067592431737975,10.661418972356008,,7.18287753825159
,5.937993159030542,,4.696554697115457,,5.186114360926565,10.61582950786677,,7.115613961300126
,5.909924678125692,,4.686750980703192,,5.1664958128175495,10.56476107216645,,7.058478615984779
,5.883774855040052,,4.678207706645326,,5.147783200819196,10.507737785310711,,7.009665337858856
,5.859294253636998,,4.670750944925497,,5.129872769775256,10.44429212233814,,6.9676610594824435
,5.836261145893223,,4.6642315951333435,,5.112675790937311,10.37398063266987,,6.931210298234533
,5.814479109180114,,4.65852162443742,,5.096116402639348,10.296402581255348,,6.8992785763794275
,5.793774894011377,,4.653511448760697,,5.080130469878749,10.211221946454,,6.871016942167916
,5.77399605551313,,4.649107304062982,,5.0646636757114685,10.11819125970625,,6.845731098028125
,5.755008796955322,,4.645228571455922,,5.049670285699226,10.017177182442044,,6.822854102328183
,5.736696001890503,,4.641806108925132,,5.035111919488526,9.90818592130658,,6.801922832294589
,5.718955187844584,,4.638780773454923,,5.02095693386607,9.79138660480652,,6.7825590509432585
,5.701697121570772,,4.636101426073754,,5.0071789618853675,9.667130276381851,,6.764453152093237
,5.684844265324524,,4.6337243128444205,,4.99375621853175,9.535962111071498,,6.747351420658657
,5.668329335823464,,4.631611536037807,,4.980671092391887,9.398624896673969,,6.731044991017739
,5.652094050884597,,4.629730478311661,,4.967909160113699,9.256050785658926,,6.715361521823934
,5.636088241251343,,4.628052936937134,,4.955458935111203,9.109342441731695,,6.700158412818967
,5.620268743115487,,4.626554417473471,,4.9433109098054775,8.959741064212526,,6.685316690779168
,5.604598645660294,,4.625213707408666,,4.931457727686704,8.808585433250537,,6.670737112154195
,5.589046445419038,,4.624012389143716,,4.91989351458138,8.657262676068386,,6.656336538818138
,5.57358558981953,,4.622934410011991,,4.908613536961617,8.507155538924897,,6.642044553253885
,5.558193533430044,,4.621965742252492,,4.897614265977973,8.359590574595552,,6.627801525975534
,5.542851769433525,,4.621094114875251,,4.88689257544152,8.215790659595378,,6.613557083641021
,5.5275448479515825,,4.62030884358449,,4.876446124263437,8.076835860087826,,6.599267949635793
,5.512260336970621,,4.619600491235094,,4.866272735987291,7.943635389312567,,6.584897142626112
,5.49698817895582,,4.6189608049793796,,4.856370866466808,7.816910938725586,,6.570412864379278
,5.481720977420648,,4.6183824913948825,,4.8467387495293215,7.697191568467233,,6.555787970271905
,5.466453050606161,,4.617859084075798,,4.837374804744197,7.584819589947435,,6.540998875447131
,5.451180659567875,,4.617384904150514,,4.828277349928833,7.479963984858872,,6.526025534913398
