LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-20.239302202689395,-20.71828549351329,-19.91452748044588,-22.98318247173855,-22.81745482798404,-21.467366839647212,-19.99660996905558,-13.98709874584408,-19.16509761467304,-18.714083692774548
-20.128750812044345,-20.71828549351329,-21.74692839771619,-22.98318247173855,-22.37320869227548,-21.467366839647212,-19.884103292671373,-13.98709874584408,-19.16509761467304,-18.714083692774548
-20.704693308734555,-20.917122154714026,-22.532114789371974,-22.988119881509874,-22.03044321315916,-21.68473468051705,-16.573365277384013,-14.308800843523914,-19.19257432944627,-19.10181097568086
-20.702390198102478,-21.091162910606453,-22.802389531214427,-22.99227466365877,-21.805025656140867,-21.874858852114684,-14.402578453520585,-14.670618315901578,-19.219075648346408,-19.467717473437926
-20.718502560595397,-21.244476600942406,-22.903421132535307,-22.995774445995593,-21.664827047157168,-22.04009071833522,-19.189702830952026,-15.071810648769977,-19.24467256917831,-19.809654058538925
-20.717788128098306,-21.380562508160015,-22.945646576600545,-22.998725796797153,-21.579573858039634,-22.18289764272443,-19.679857858763455,-15.509512983540594,-19.269430649353136,-20.126305706544002
-20.718307003782012,-21.502343564603425,-22.96514039981152,-23.001217941309417,-21.528179601337214,-22.30574269048799,-19.949563097512765,-15.97847913904628,-19.293411569156742,-20.41712064871688
-20.71826907726691,-21.612209150412586,-22.974923760688892,-23.00332538737523,-21.497256475513183,-22.41099725099036,-19.58324886836011,-16.471096624349705,-19.316672616554204,-20.682217323749736
-20.71828687118781,-21.71208198878933,-22.980185931578628,-23.005110379349023,-21.478624500022065,-22.500882841739564,-17.101879035426617,-16.97775114164991,-19.339267383367712,-20.92227609747917
-20.71828549351329,-21.80349244222915,-22.98318247173855,-23.00662494953443,-21.467366839647212,-22.57743652875923,-13.98709874584408,-17.4875451433686,-19.361245802975674,-21.138422237651426
,-21.887649699745417,,-23.007912557991087,,-22.64249500840926,,-17.989279660292265,-19.3826551112559,-21.33210797858031
,-21.965505315205473,,-23.00900954356263,,-22.697691763203817,,-18.47252170297123,-19.403539114161138,-21.505000317316608
,-22.03780827883525,,-23.0099462467644,,-22.74446370197619,,-18.928541619685685,-19.423939140977886,-21.65888123334128
,-22.105150005318453,,-23.010748049100915,,-22.784063201183322,,-19.35094333872601,-19.44389386564276,-21.795562887245026
,-22.168001644645745,,-23.011436172968825,,-22.817574018151262,,-19.735898474617525,-19.463440089127484,-21.916822306919478
,-22.226742821505226,,-23.012028398799725,,-22.845927971495392,,-20.08200832675279,-19.482612348941075,-22.024352308657814
,-22.281685126779884,,-23.012539572365,,-22.86992232158777,,-20.38989768918329,-19.501443148717737,-22.11972999203648
,-22.333089452750777,,-23.012982148956297,,-22.890236426478605,,-20.661676742660184,-19.51996349781805,-22.204398024012114
,-22.381180091656915,,-23.01336656299925,,-22.907447120996157,,-20.900393285035804,-19.53820273318978,-22.279657290061813
,-22.426153987857823,,-23.013701573097073,,-22.92204283776755,,-21.109558986176303,-19.556188398738765,-22.346667032369222
,-22.468188917938715,,-23.013994531457406,,-22.934436287639286,,-21.292785864147735,-19.573947151224115,-22.40645093269521
,-22.507448469796728,,-23.014251592314448,,-22.944975406858656,,-21.45354030142628,-19.591504063054842,-22.459906599616097
,-22.544085603354883,,-23.01447796569117,,-22.95395312577735,,-21.59499584217177,-19.608883265632326,-22.507816590699218
,-22.578245670313695,,-23.014678019261655,,-22.96161581227048,,-21.719963340374683,-19.626108043521445,-22.55086077089774
,-22.610067630501995,,-23.01485543517198,,-22.968170467801055,,-21.830873447641633,-19.643200130319105,-22.589628057995462
,-22.63968529618501,,-23.015013326126525,,-22.973790920432247,,-21.92979243643994,-19.660180978979025,-22.624627922230324
,-22.667227762050196,,-23.015154329101815,,-22.97862299646696,,-22.018455422572583,-19.677071318532157,-22.656300852180678
,-22.692819571185193,,-23.0152806798243,,-22.982789044211568,,-22.098307905602034,-19.693890240003313,-22.68502754359378
,-22.716580909193745,,-23.01539426677672,,-22.986391801689543,,-22.170548355094255,-19.710657211973217,-22.71113800994011
,-22.738627346550167,,-23.015496709518082,,-22.989517375690085,,-22.236168896711565,-19.727390654197684,-22.73491808177113
,-22.759069965636417,,-23.015589375400108,,-22.992238003678644,,-22.2959911672,-19.744108659540032,-22.756616310084627
,-22.778014965637468,,-23.01567344555506,,-22.99461442938586,,-22.35069771992513,-19.760828189768915,-22.77644939616941
,-22.79556349594764,,-23.01574992101765,,-22.99669763628261,,-22.400858492449622,-19.77756666575709,-22.794606466820625
,-22.811811930152466,,-23.015819664602553,,-22.998530459836452,,-22.44695253077581,-19.794340726966585,-22.811253499875132
,-22.82685149015997,,-23.01588343271787,,-23.00014894975518,,-22.489385579794497,-19.811166556662226,-22.82653636912302
,-22.840768369110286,,-23.01594185734796,,-23.001583500482475,,-22.528504913638873,-19.828059908399005,-22.840584063466636
