LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-35.08922649969679,-34.28838885119071,-34.67929978441368,-35.70823606630762,-36.22798076438,-35.81108455257577,-34.55837239821973,-26.49080417927517,-29.90576900770241,-32.52256550726401
-34.11664725480891,-34.28838885119071,-36.68771640476999,-35.70823606630762,-36.16326957268526,-35.81108455257577,-23.092028694806135,-26.49080417927517,-29.90576900770241,-32.52256550726401
-34.266467057299174,-34.77558381252132,-36.75376401110202,-35.93211378440236,-36.043872036403975,-35.87250580640302,-19.288302340567494,-27.235300851380888,-30.056626386813914,-33.959135098121045
-34.2849729981446,-34.95012115182159,-36.45178196306371,-36.108679463488755,-35.94975245596298,-35.93269408062246,-33.181886119546434,-27.92015976352209,-30.202021270659248,-34.916378087758545
-34.287877514555205,-35.03400201175223,-36.19078456883337,-36.24759049006713,-35.89023609915235,-35.991429443844694,-30.096909559457693,-28.54317032622551,-30.34206942174519,-35.51510434102737
-34.28830887865003,-35.09195786407413,-36.00761731870358,-36.35701727474243,-35.85466169650003,-36.04850598880092,-25.905308405637573,-29.105220791373448,-30.476891463315624,-35.88216677181316
-34.28837614502987,-35.14271388142868,-35.88420281665011,-36.443620991154106,-35.83383081775882,-36.10373838323244,-30.51820552357133,-29.609287290955212,-30.606613747148387,-36.109843147794365
-34.28838671994492,-35.19184538707914,-35.801479446612134,-36.51268326476224,-35.82179767272207,-36.15696645268645,-27.9893744607242,-30.059568241435972,-30.731365819233204,-36.25592792766571
-34.288388507122164,-35.24103332230612,-35.745841096005215,-36.568306996829484,-35.81493930337955,-36.20805842795806,-33.31375397570935,-30.46083980386588,-30.851282269142573,-36.35438306670278
-34.28838885119071,-35.290757073726226,-35.70823606630762,-36.61363189628339,-35.81108455257577,-36.256912842325654,-26.49080417927517,-30.81800624010492,-30.966499069573644,-36.424700874652565
,-35.341110037504535,,-36.65103594364172,,-36.303458224409624,,-31.135816323070227,-31.077157624370646,-36.47802163546594
,-35.39205524654778,,-36.682308308944606,,-36.3476518270745,,-31.418700905954296,-31.18339967451192,-36.520744608194924
,-35.4435085878477,,-36.70879052528052,,-36.38947803118399,,-31.670698789721932,-31.285367764287948,-36.55658080003105
,-35.49536615974445,,-36.731488337876556,,-36.428945976050116,,-31.895431471223315,-31.383206171592484,-36.58770909148752
,-35.547514231365696,,-36.75115718211825,,-36.46608593227469,,-32.0961128920452,-31.477057022984482,-36.615428210750885
,-35.59983245631279,,-36.76836753759934,,-36.500946334039185,,-32.27557553816782,-31.567061921197727,-36.64052671080523
,-35.652196890986595,,-36.78355309017178,,-36.53359071446349,,-32.436305549504276,-31.65336100631876,-36.66349571584995
,-35.704480041211404,,-36.79704697525964,,-36.56409483480655,,-32.58047743066101,-31.736091057985313,-36.684651585131036
,-35.75655259370845,,-36.80910777141551,,-36.59254313660837,,-32.709995038640294,-31.815386676325545,-36.704207439851345
,-35.80828479763649,,-36.81993920663731,,-36.61902694649169,,-32.8265225642493,-31.891379063046585,-36.72231560593072
,-35.85954721918789,,-36.82970380338469,,-36.6436417361082,,-32.93151591980924,-31.96419590900627,-36.739091994871345
,-35.91021169063193,,-36.838533550066664,,-36.666485380576674,,-33.02624872844757,-32.033961314710275,-36.754631020954015
,-35.96015281822254,,-36.84653713990365,,-36.68765657217127,,-33.111840186418625,-32.100796641303695,-36.76901403437331
,-36.00924958277869,,-36.853805512838235,,-36.70725358132346,,-33.18927188762306,-32.16481686987877,-36.78231430018412
,-36.05738559998669,,-36.86041565294122,,-36.725372727754895,,-33.259407291493204,-32.22613504298784,-36.79459999746352
,-36.1044511236109,,-36.866433895788575,,-36.74210818120192,,-33.32300908498058,-32.28485920923646,-36.805935379826025
,-36.15034335398114,,-36.87191772987393,,-36.75755081676234,,-33.380748737191574,-32.3410936533854,-36.81638196457192
,-36.194967812525434,,-36.87691781531509,,-36.77178812862464,,-33.43322291117386,-32.39493942886494,-36.82599851807948
,-36.238239394114714,,-36.8814788807955,,-36.784903538567974,,-33.480957990465754,-32.44649346976655,-36.83484157326251
,-36.28008233965775,,-36.88564090413951,,-36.796976439313795,,-33.5244237831674,-32.49584783337689,-36.84296511382392
,-36.320431835165195,,-36.88943959849645,,-36.80808212108864,,-33.564036783548715,-32.54309311583641,-36.850420733238536
,-36.359233395212094,,-36.892907224157334,,-36.8182914697931,,-33.60016918776115,-32.588314674622964,-36.8572574088056
,-36.39644392511787,,-36.896072921460494,,-36.827671412282456,,-33.633153149843,-32.63159641956302,-36.863521566217344
,-36.432031453631836,,-36.89896310568219,,-36.83628457092942,,-33.6632858533529,-32.67301735352817,-36.869257033465935
,-36.46597507649848,,-36.90160177827424,,-36.844189562411,,-33.690833153729756,-32.71265464200163,-36.87450503859474
,-36.498264850868146,,-36.90401082194213,,-36.85144120587208,,-33.71603353963069,-32.7505819974164,-36.87930418154715
,-36.52890120730268,,-36.906210117481706,,-36.85809055366702,,-33.73910175071264,-32.78687076395847,-36.88369054118387
,-36.55789447435653,,-36.90821783567932,,-36.86418508724027,,-33.76023137658036,-32.82158998212364,-36.88769778829938
,-36.585264477664985,,-36.910050560006376,,-36.869768976049954,,-33.779595534730774,-32.85480569823816,-36.8913571712781
,-36.61103945259663,,-36.9117234260216,,-36.87488320994547,,-33.79735203025804,-32.88658171991363,-36.89469765939403
,-36.63525525926567,,-36.91325026907684,,-36.879565682124145,,-33.813642483309316,-32.91697895956966,-36.89774608437126
,-36.65795456350293,,-36.91464376346897,,-36.883851526392824,,-33.82859500315157,-32.946056864127,-36.900527168580886
,-36.679186025126796,,-36.91591545137677,,-36.887773220959346,,-33.84232591603045,-32.97387248832458,-36.903063751599205
,-36.69900294296655,,-36.91707587454983,,-36.8913606750598,,-33.8549401721285,-33.00048148641832,-36.905376826586995
,-36.71746269060546,,-36.91813471874262,,-36.89464158352987,,-33.86653390728919,-33.0259362315589,-36.90748570276168
,-36.73462557116301,,-36.919100807261785,,-36.8976413715493,,-33.877193525534366,-33.05028783416236,-36.90940808855871
,-36.75055405041503,,-36.91998220711917,,-36.900383540106276,,-33.886997973622606,-33.07358529597141,-36.91116024964473
