LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-38.189535662718825,-37.20202285876646,-37.741111488136745,-39.2906209639213,-39.724767496309624,-39.03329209533589,-37.641723821142456,-25.060043429398533,-34.978552119712994,-35.40497263324961
-37.078134906159406,-37.20202285876646,-40.002849786245235,-39.2906209639213,-39.507070877948216,-39.03329209533589,-26.13376332079924,-25.060043429398533,-34.978552119712994,-35.40497263324961
-37.18462856319375,-37.8023243028692,-40.18710527001575,-39.46483280951491,-39.322946111874785,-39.130062443980016,-33.150310879624584,-26.44526640337667,-35.068097803819974,-37.056510229035176
-37.19939433860204,-38.00493609460084,-39.94481856745685,-39.60528799331553,-39.20801254346627,-39.22026464723834,-29.133753639914914,-28.3408828363437,-35.15254800324284,-38.149304404766276
-37.201629671172775,-38.10214205527617,-39.71863393781277,-39.71855492294326,-39.13771410172581,-39.30452671374284,-33.66103183275201,-30.768406269467032,-35.232241828535514,-38.82252021572622
-37.201962683620756,-38.17227287270745,-39.55706085406365,-39.810182454850384,-39.09421945696217,-39.38332621100749,-27.16069939699613,-33.43597081849091,-35.307492657138184,-39.22906301548087
-37.2020135685689,-38.236027531905776,-39.44748443467417,-39.884723508553535,-39.06714865698604,-39.4570362180758,-30.70091978031074,-35.6558253546546,-35.3785918205842,-39.47875146950353
-37.2020212908215,-38.29905064495306,-39.3738174055289,-39.94582999589066,-39.05028456853871,-39.525959246983646,-33.214886921374834,-36.91598608869649,-35.44581030715147,-39.63857584454391
-37.20202266400375,-38.36287925887069,-39.32419239635841,-39.996381054919716,-39.039797105118346,-39.590351818543986,-23.29144782932566,-37.41705987267315,-35.50939737472127,-39.74681200170202
-37.20202285876646,-38.427870302563605,-39.2906209639213,-40.03861829164242,-39.03329209533589,-39.650441855086584,-25.060043429398533,-37.59076004360649,-35.569586169438054,-39.82486957242046
,-38.49402279644717,,-40.07427180665292,,-39.70643991904377,,-37.66566527892207,-35.6265936211738,-39.884715091043006
,-38.56121626672411,,-40.104670936241625,,-39.758546643482255,,-37.71598893745897,-35.68062013195043,-39.933097155533
,-38.629283387875454,,-40.13083509706707,,-39.80695716159709,,-37.76160915870354,-35.73185324167995,-39.973875840652944
,-38.69803390616628,,-40.15354763714646,,-39.8518629658641,,-37.80753644099407,-35.7804676325337,-40.009299120880165
,-38.76726192257235,,-40.17341317493399,,-39.893453180455154,,-37.85502358609559,-35.826624425771115,-40.04070687582797
,-38.836751048882945,,-40.190901426209116,,-39.93191375812059,,-37.904384875563814,-35.87047536344223,-40.068922206521044
,-38.906275845760945,,-40.20638098615649,,-39.967427930264876,,-37.95569043109106,-35.91216022170372,-40.09447166648095
,-38.97560552466755,,-40.22014438435805,,-40.00017476562004,,-38.00893836764978,-35.95181007238194,-40.117710167022345
,-39.044505538760944,,-40.23242672837659,,-40.0303287309729,,-38.064097933111796,-35.98954689657329,-40.13889243185914
,-39.112741487008016,,-40.24341946975388,,-40.05805893306342,,-38.12111922071836,-36.02548445863377,-40.158214219427386
,-39.18008100896504,,-40.253280812292694,,-40.0835284750751,,-38.17993487347702,-36.05972790728921,-40.17583564127163
,-39.24629722612057,,-40.262143054833594,,-40.10689399120056,,-38.2404620987301,-36.09237720561072,-40.19189480439785
,-39.3111717822316,,-40.270118439706586,,-40.128305076933586,,-38.302600575584954,-36.12352351781463,-40.20651531970017
,-39.374497731355596,,-40.277303261010225,,-40.147904242567215,,-38.36623366050099,-36.153253648078035,-40.219810688276546
,-39.43608179288461,,-40.283780958794914,,-40.16582669450144,,-38.43122837775456,-36.181647669581295,-40.23188638288888
,-39.495747740990645,,-40.28962437341291,,-40.18220002226399,,-38.49743460922969,-36.20878077186054,-40.24284133486731
,-39.553338157180654,,-40.29489768398078,,-40.19714460043298,,-38.56468676316301,-36.234722857842506,-40.25276827036396
,-39.60871578178488,,-40.29965784607701,,-40.21077320780227,,-38.63280429238736,-36.25954015122413,-40.26175417007367
,-39.661766022361405,,-40.303955472529964,,-40.22319171791318,,-38.70159285394953,-36.283293600426916,-40.269880375950514
,-39.71239693612586,,-40.307835885225785,,-40.23449881960561,,-38.77084603470325,-36.306040454447825,-40.27722268432595
,-39.76054036968032,,-40.31133964773894,,-40.24478655273702,,-38.84034706909268,-36.32783497457276,-40.283851526739994
,-39.806151432236454,,-40.31450327261323,,-40.254140441119546,,-38.909870761886886,-36.34872700870216,-40.28983214211143
,-39.849208666854224,,-40.31735964413198,,-40.262639743289405,,-38.97918621768017,-36.36876390119577,-40.2952245864162
,-39.889712636094515,,-40.31993843857859,,-40.27035781744123,,-39.04805923491865,-36.387990531676984,-40.30008419934873
,-39.927684408387584,,-40.32226638888896,,-40.27736256599301,,-39.11625555661768,-36.406447547024115,-40.304461630225845
,-39.963164661374094,,-40.32436771193075,,-40.283716482487364,,-39.18354310564724,-36.42417459503714,-40.30840320861025
