LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-23.849362912328285,-23.934200438480314,-23.484725672584783,-26.637430975837756,-26.51887958597714,-26.3990426162609,-23.566228095295646,-16.057089497862705,-22.588940227716176,-22.066635523643935
-23.441538893233783,-23.934200438480314,-25.52682644143427,-26.637430975837756,-26.61233833943049,-26.3990426162609,-16.136060842728916,-16.057089497862705,-22.588940227716176,-22.066635523643935
-23.907470902394525,-24.22650435623888,-26.311183745367543,-26.641957222730287,-26.40300771079998,-26.439750056743513,-19.468470313164133,-16.461250321155575,-22.602379841101264,-22.616426235156265
-23.923163694572853,-24.466516704964764,-26.542970426905658,-26.646039114489113,-26.395187087840778,-26.474254233654765,-15.756710828653937,-16.953194234540053,-22.615384222593974,-23.121424502317993
-23.93351920854578,-24.666331058396896,-26.6127678377347,-26.649732293817937,-26.39798134922403,-26.5035509039298,-19.578529245849946,-17.537884635012524,-22.627985266364284,-23.577658299838596
-23.9339209860116,-24.83569346168636,-26.633720706558837,-26.65308379555687,-26.39863572655771,-26.52847228293099,-18.68484911736611,-18.211884405799083,-22.640212616219635,-23.983896327899387
-23.934178998400142,-24.98209177299723,-26.639137559035966,-26.656133540679015,-26.398881697111385,-26.549713970971787,-15.79203985494722,-18.960147376697034,-22.652093790799054,-24.341165975152542
-23.93419290082764,-25.111097132857022,-26.639592075383057,-26.65891562728299,-26.398982537144327,-26.567857127436348,-18.67624703553258,-19.754999887901903,-22.663654366163442,-24.652184102960703
-23.93419997769005,-25.22676306924922,-26.638625187227067,-26.661459223335658,-26.3990256836842,-26.58338792336609,-17.36037446438609,-20.55904805467462,-22.674918616596116,-24.92078432043024
-23.934200438480314,-25.331990014167033,-26.637430975837756,-26.66378942911386,-26.3990426162609,-26.59671308786537,-16.057089497862705,-21.332155515853835,-22.685908875032446,-25.1514030548414
,-25.428828097791218,,-26.665927932775123,,-26.608173365013073,,-22.040096829811578,-22.69664623058197,-25.348662859624962
,-25.51871182185283,,-26.667893569253486,,-26.618054210111847,,-22.6610688917354,-22.707150634845153,-25.51706678735155
,-25.60263822112993,,-26.6697027893421,,-26.626595210653974,,-23.187500098028682,-22.717440738346426,-25.66079982209986
,-25.681298508268743,,-26.671370068207462,,-26.63399751249449,,-23.62349110922442,-22.727534236091767,-25.783619404804984
,-25.755173743362935,,-26.67290809995159,,-26.640430213248088,,-23.980206827629296,-22.73744775816971,-25.888813352676316
,-25.82460427758804,,-26.674328195770773,,-26.64603557728488,,-24.27152035039677,-22.747197031199374,-25.979203127909944
,-25.889839126227187,,-26.675640384953528,,-26.650933564416963,,-24.511041829123773,-22.756797082694447,-26.057175858932354
,-25.95107058779142,,-26.67685366228026,,-26.655225370823583,,-24.71059698539479,-22.76626226928079,-26.12472999045545
,-26.008458350601604,,-26.677976080567543,,-26.658996441053137,,-24.879738014142415,-22.775606133494527,-26.1835266787535
,-26.062145825938405,,-26.679014965030387,,-26.662319113406813,,-25.02582681927782,-22.784841714604372,-26.234940350262825
,-26.112270361407884,,-26.67997684410565,,-26.665254680390287,,-25.154362116528308,-22.79398148720281,-26.280105547664146
,-26.158969653946635,,-26.680867755117728,,-26.667855245756414,,-25.269362356343642,-22.80303743996975,-26.31995792816855
,-26.202384801604694,,-26.681693117771598,,-26.67016506995268,,-25.373719180922432,-22.8120212221308,-26.355270280652647
,-26.242662341617248,,-26.682457919171,,-26.672221878374106,,-25.469489536314207,-22.820943778916263,-26.386681992088317
,-26.279953302025298,,-26.68316672790278,,-26.674057916059912,,-25.55812566186322,-22.829815941722476,-26.41472412735503
,-26.31441310423493,,-26.68382369390399,,-26.675700749923415,,-25.640647991333562,-22.838648285142558,-26.439839369041177
,-26.346199594002396,,-26.684432692011992,,-26.6771740709662,,-25.717773989444282,-22.847450812906402,-26.462398971217624
,-26.375471760361307,,-26.684997236659203,,-26.67849823967791,,-25.79001202952015,-22.856233481459995,-26.482715711127256
,-26.402387879529734,,-26.68552058493199,,-26.679690774756484,,-25.857729818065042,-22.865006108831377,-26.50105471707017
,-26.427103958027892,,-26.686005761772496,,-26.680766874896797,,-25.9212024178715,-22.87377802014936,-26.51764194523988
,-26.44977244420366,,-26.686455549904135,,-26.681739658707322,,-25.980646393320246,-22.88255858831072,-26.532671630995043
,-26.47054102135031,,-26.686872533665852,,-26.68262056382452,,-26.036243664506912,-22.891357123983376,-26.546311264778875
,-26.48955155024204,,-26.687259089996687,,-26.68341954046887,,-26.088157132015386,-22.900182683706554,-26.558706301151954
,-26.506939256253627,,-26.68761742495289,,-26.684145301052904,,-26.13654112990727,-22.909044255987713,-26.56998369562899
,-26.52283224807643,,-26.687949580682996,,-26.68480546732864,,-26.181547339678456,-22.917950771322385,-26.580255046886954
,-26.537351457179234,,-26.688257444440662,,-26.685406749321377,,-26.223328777908733,-22.92691127256672,-26.58961877600638
,-26.550610071006478,,-26.688542797123674,,-26.68595504763022,,-26.262040862295365,-22.93593446684354,-26.59816198114659
,-26.562713737972818,,-26.688807247265196,,-26.686455570998067,,-26.297841467744593,-22.945029338407814,-26.60596212165838
,-26.57376061632861,,-26.68905232140364,,-26.6869129439828,,-26.330890454697457,-22.954204801433377,-26.613088442702924
,-26.58384169901183,,-26.68927942275161,,-26.68733127079864,,-26.361348511140196,-22.963469915263918,-26.61960290904765
,-26.59304089698799,,-26.6894898541898,,-26.687714216284775,,-26.389375706594855,-22.972833350777766,-26.62556107185739
,-26.601435552663034,,-26.68968483032731,,-26.688065066358607,,-26.415130158110372,-22.982304420955543,-26.631013037867408
,-26.60909658168297,,-26.689865475529526,,-26.688386726283376,,-26.438766425406307,-22.99189242756523,-26.6360039410389
,-26.616089017755293,,-26.690032828184215,,-26.688681812098448,,-26.460434729811542,-23.001606419831006,-26.640574544909985
,-26.62247225305778,,-26.690187847204534,,-26.688952693520626,,-26.480279707316228,-23.011455829408867,-26.644761840897797
,-26.62830064628069,,-26.69033144162808,,-26.689201489104676,,-26.49843951300858,-23.0214505281786,-26.648599212342674
,-26.633623777190717,,-26.69046444907462,,-26.68943011386354,,-26.51504558004105,-23.03160012072918,-26.652117097223314
,-26.638486793474762,,-26.690587633084764,,-26.68964030280076,,-26.530222001779794,-23.04191460379368,-26.65534303579034
,-26.642930803944807,,-26.690701718615333,,-26.68983361947289,,-26.54408528129329,-23.052404090584346,-26.658302084507767
,-26.646993107712568,,-26.690807361604858,,-26.690011489303764,,-26.556744557478424,-23.063078975078195,-26.66101711930513
,-26.65070775597924,,-26.69090518719411,,-26.690175203852274,,-26.568301358722962,-23.073949514293645,-26.663508914367785
,-26.654105694420743,,-26.69099576961481,,-26.6903259431651,,-26.578849805342433,-23.085027078192795,-26.665796337238937
,-26.657214965854692,,-26.691079637769334,,-26.690464763177815,,-26.58847694159622,-23.096322591005865,-26.667896729117967
,-26.66006110521015,,-26.69115728528424,,-26.690592648239967,,-26.59726309597667,-23.107847239731775,-26.669825808858523
,-26.662667231169298,,-26.691229167608117,,-26.69071048426855,,-26.60528205447057,-23.119613045963483,-26.67159793960463
,-26.665054449232258,,-26.691295718284277,,-26.690819096065912,,-26.612601526214743,-23.13163141230697,-26.673226271177388
,-26.66724192370113,,-26.69135731830311,,-26.690919213504916,,-26.619283510973624,-23.143915071741613,-26.67472275565349
,-26.669247015434145,,-26.691414339815523,,-26.691011529623918,,-26.625384732231197,-23.156476622217205,-26.676098352097238
,-26.6710855736514,,-26.691467116000545,,-26.69109665932989,,-26.630956848064876,-23.169329229890053,-26.677363104643646
,-26.67277198068372,,-26.69151596733112,,-26.69117517750352,,-26.63604714428314,-23.182486300360356,-26.678526168270775
,-26.674319300964395,,-26.69156117757007,,-26.69124761236186,,-26.640698558519198,-23.195961364037547,-26.67959590170246
,-26.67573944556728,,-26.6916030204494,,-26.691314436985248,,-26.644950186699234,-23.209768457197917,-26.680579982227226
,-26.67704327216868,,-26.691641744924706,,-26.691376094131392,,-26.64883762791652,-23.223922370887657,-26.681485412254247
,-26.67824064727491,,-26.69167757836579,,-26.6914329916492,,-26.652393230349883,-23.238438079106842,-26.68231863981321
,-26.679340583207058,,-26.691710737926673,,-26.69148550297893,,-26.655646442601668,-23.253330614415987,-26.683085539232586
,-26.680351276802302,,-26.69174142309631,,-26.691533970442354,,-26.658623996130125,-23.268616155747164,-26.683791501771637
,-26.681280208739462,,-26.691769813763557,,-26.6915787091475,,-26.661350209351898,-23.284310739187696,-26.684441473574598
,-26.682134205323784,,-26.691796083011145,,-26.691620013476857,,-26.663847139963945,-23.30043084337407,-26.68503999087144
,-26.68291948721141,,-26.691820388702926,,-26.691658144429667,,-26.666134845782246,-23.316993390187836,-26.685591202435887
,-26.683641793151196,,-26.691842874079747,,-26.69169335323704,,-26.668231582452865,-23.334015713574843,-26.686098916019994
,-26.684306273266223,,-26.691863676639414,,-26.691725860438968,,-26.670153888637355,-23.351516010603756,-26.68656664044775
,-26.68491770723601,,-26.691882924694042,,-26.691755879135002,,-26.671916881870732,-23.36951216925318,-26.686997574688476
,-26.68548045874859,,-26.691900730930666,,-26.69178360371793,,-26.67353428073487,-23.38802327748009,-26.687394657245903
,-26.68599849131251,,-26.6919172039285,,-26.691809204850426,,-26.675018592857192,-23.40706795918468,-26.68776059485309
