LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-43.78174491072332,-42.59749880388037,-43.330166377776486,-43.21954481331808,-44.12195397786051,-43.3563833551063,-43.05644193274189,-30.67701382074052,-33.71005180170059,-40.603788949354104
-42.536707948424635,-42.59749880388037,-45.408412576107054,-43.21954481331808,-43.6288943353411,-43.3563833551063,-29.799654668839906,-30.67701382074052,-33.71005180170059,-40.603788949354104
-42.588332303083895,-43.19893286554143,-45.0842397143933,-43.801345589562054,-43.468407576406406,-43.691977034865594,-41.74640789235742,-36.143006696630344,-34.00462846541522,-42.92346915985674
-42.59615834672985,-43.271397051902,-44.47489713511101,-44.22515706423224,-43.404990171224625,-43.95337390625776,-42.10217085751809,-41.25660581709665,-34.29713285392336,-44.07157580445161
-42.59730470141419,-43.312769670624114,-44.016368979430816,-44.52970718647751,-43.37840106239137,-44.158941311542776,-29.9840337757796,-43.49926329517594,-34.587012193066776,-44.590141400231744
-42.59747040576458,-43.353288372807114,-43.708442002509834,-44.74801544412932,-43.366580370381996,-44.32347761617288,-25.181855180744645,-44.08519730359951,-34.873687017450585,-44.83278240303676
-42.59749463175557,-43.395010797824995,-43.50510956645525,-44.90568442197906,-43.3610610529895,-44.458225526079765,-32.20993166772685,-44.258897719941935,-35.156554032843474,-44.95915910543023
-42.59749816301351,-43.438075487320624,-43.370291982340554,-45.021378129183795,-43.35838680011379,-44.57135767200154,-35.151575538123474,-44.34276872809053,-35.43499783637255,-45.0353485595343
-42.59749871271837,-43.48246942960528,-43.28019597604946,-45.1081664317957,-43.357056886883335,-44.668618295214095,-26.952740420892248,-44.40526732492466,-35.708409493503154,-45.08874314429711
-42.59749880388037,-43.52816128149928,-43.21954481331808,-45.17497057966767,-43.3563833551063,-44.753944496111494,-30.67701382074052,-44.46196459978098,-35.97619734894054,-45.13098951713774
,-43.57511077677199,,-45.22779182718839,,-44.82998959236961,,-44.51662760055225,-36.23781467293038,-45.16718533352301
,-43.62326944200643,,-45.2706419135296,,-44.89852804586583,,-44.570149197241676,-36.492774827099765,-45.19962556631752
,-43.6725807157452,,-45.30620516717128,,-44.96075278838451,,-44.62267692819834,-36.74067311869456,-45.229374793653264
,-43.722979141646526,,-45.336290909923925,,-45.017482782874,,-44.67415895056984,-36.98120161880799,-45.25694625307141
,-43.77439060022677,,-45.362135687422146,,-45.069303803744866,,-44.72449265827716,-37.214154645135736,-45.2826035289191
,-43.82673287980845,,-45.384601207409105,,-45.11665990426904,,-44.773566836370684,-37.43943209206206,-45.30649748664922
