LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-26.855979069224922,-26.63964813885318,-26.52390950947487,-27.312506061016656,-27.77484365682259,-26.51282517720565,-26.438829838592063,-18.40520634336342,-18.917810258436273,-24.873426848227272
-26.30989671536565,-26.63964813885318,-28.130393492215813,-27.312506061016656,-26.248009349012584,-26.51282517720565,-23.195447212526968,-18.40520634336342,-18.917810258436273,-24.873426848227272
-26.616838426699974,-26.841061815430503,-28.201624220757225,-27.488580955360497,-26.59503014986587,-26.92928318999838,-18.505104242728397,-19.26524033047836,-19.02564235054271,-25.727001758229612
-26.634498380354586,-26.95329250387288,-27.95334739725383,-27.629315734731037,-26.46645470840757,-27.25543143226624,-14.068248832755492,-20.165826319374442,-19.136477244103496,-26.36894552283254
-26.639076061892524,-27.023558501675303,-27.731816887145683,-27.741581045471897,-26.53000235697432,-27.50732827159165,-26.190380275783518,-21.08289071353904,-19.250458683802545,-26.834202340030576
-26.639544036943416,-27.074062182894444,-27.573973186748223,-27.831175154977657,-26.505359743839797,-27.70003074084571,-24.75244928212499,-21.98960872048277,-19.367713851057072,-27.164407767326768
-26.63963403252233,-27.115194637674758,-27.4666821247119,-27.902864468780134,-26.516514577810476,-27.846572759778567,-17.900128120729093,-22.85946875543356,-19.488352486139405,-27.397017443090643
-26.63964582484821,-27.151857091134726,-27.394372783543,-27.96049205052039,-26.511859398098007,-27.957659038996674,-22.864332718993836,-23.669452717973808,-19.612463405019366,-27.561450960517146
-26.639648017862307,-27.186381617231355,-27.34556810903645,-28.007111126565288,-26.513731883269763,-28.04177808350423,-25.32969519642006,-24.4025217175882,-19.740107024521,-27.679143720223706
-26.63964813885318,-27.219881470855047,-27.312506061016656,-28.045122197453434,-26.51282517720565,-28.10550632099385,-18.40520634336342,-25.048835795269323,-19.871312532355013,-27.765058066000847
,-27.25288258444199,,-28.07639751940498,,-28.153862770959957,,-25.60559180460424,-20.006074629486065,-27.829390622472914
,-27.28562299793074,,-28.102389738179333,,-28.19064112323525,,-26.075794305735357,-20.144347151388505,-27.87900318145586
,-27.31819827866534,,-28.124221682234232,,-28.218694535831503,,-26.4665006752277,-20.28604350339077,-27.918487931170617
,-27.35063224891833,,-28.142760121340643,,-28.240163112701456,,-26.78704420535525,-20.431029848107848,-27.950914423029005
,-27.382912434233234,,-28.158673431423345,,-28.256651061214402,,-27.047561509288855,-20.57912782364777,-27.978337352969437
,-27.415008006360104,,-28.172477665420857,,-28.26936233961789,,-27.25795285366767,-20.730110270280957,-28.00213694223455
,-27.44687877930344,,-28.18457178441301,,-28.279201719898484,,-27.427256374481377,-20.883705690495134,-28.02324462378633
,-27.478480426284015,,-28.195265287963437,,-28.28685065206185,,-27.5633501454719,-21.039600469591257,-28.042293109186822
