Phase I,Phase II,Random
-28.190110585063717,-29.49476929806993,-26.21211199564913
-29.081519123481407,-29.49476929806993,-26.21211199564913
-29.357118543220782,-29.50720216816517,-26.22627714482105
-29.446613425302175,-29.51875870215788,-26.239721220894502
-29.477409010455418,-29.529506818329867,-26.252493506604402
-29.488485317664313,-29.539507556274035,-26.264639225447414
-29.492568213283484,-29.54881610011405,-26.276199845688918
-29.49407229148008,-29.557482533847967,-26.28721364185451
-29.494604280353382,-29.565552312850585,-26.297715797563406
-29.49476929806993,-29.57306728855667,-26.307738686584873
,-29.580065776726716,-26.317312245581277
,-29.58658306825932,-26.32646421556804
,-29.592651852549995,-26.335220170081126
,-29.598302359124045,-26.343603879853223
,-29.60356268277139,-26.351637351315016
,-29.60845905080363,-26.359341070670045
,-29.613015742318677,-26.366734031871225
,-29.617255565291366,-26.37383399334314
,-29.621199677299227,-26.38065748534954
,-29.62486794470796,-26.38721985393492
,-29.628278873314713,-26.39353550657601
,-29.631449809772555,-26.399617913196003
,-29.63439692265135,-26.405479644514358
,-29.637135429086314,-26.41113253535729
,-29.639679505550497,-26.41658758991347
,-29.64204240143482,-26.42185522444126
,-29.644236559158042,-26.42694515206447
,-29.646273585044224,-26.431866558920365
,-29.648164301953503,-26.43662809786644
,-29.64991883644726,-26.44123786682127
,-29.651546696773796,-26.445703540450932
,-29.653056704679475,-26.45003233833618
,-29.6544571276636,-26.454231105994317
,-29.65575564526247,-26.458306280450383
,-29.656959494616725,-26.4622639877598
,-29.658075333170277,-26.46611001193389
,-29.659109440799902,-26.469849811974814
,-29.660067632471957,-26.473488609173756
,-29.66095536287074,-26.477031321672442
,-29.661777655672203,-26.480482641263297
,-29.662539243396946,-26.483847022991405
,-29.66324446851714,-26.487128712900592
,-29.663897435580257,-26.490331746850366
,-29.664501939212403,-26.493459976645955
,-29.665061499612953,-26.49651707868203
,-29.665579397867784,-26.49950655891958
,-29.666058658334705,-26.502431769297306
,-29.66650212192338,-26.50529591757767
,-29.666912414483146,-26.508102071981117
,-29.66729198974748,-26.510853176131196
,-29.66764309578936,-26.513552045148806
,-29.667967837123363,-26.516201392422797
,-29.668268166561237,-26.518803814265
,-29.668545898737452,-26.521361817744115
,-29.66880271242878,-26.523877808853133
,-29.669040156030636,-26.5263541122981
,-29.66925967148456,-26.528792970174223
,-29.669462596897446,-26.53119653950578
,-29.669650170571014,-26.533566908212283
,-29.66982355257663,-26.53590609970543
,-29.66998380057503,-26.538216058710752
,-29.67013189230529,-26.540498703912903
,-29.67026874432278,-26.542755871427904
,-29.67039520993793,-26.54498934967906
,-29.670512056551793,-26.547200862555307
,-29.670620022820373,-26.549392138508548
,-29.670719768448237,-26.55156480691354
