LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-34.61385401894468,-33.81114274151038,-34.17959220210616,-36.317904442973024,-36.573257454789236,-35.810532075689366,-34.1474299535485,-33.570378671603876,-32.29938997788014,-32.07918811900543
-33.62427531447461,-33.81114274151038,-36.44534829178242,-36.317904442973024,-36.299023412972495,-35.810532075689366,-32.91670319906724,-33.570378671603876,-32.29938997788014,-32.07918811900543
-33.7872847225928,-34.352417996935955,-36.832536662746854,-36.40064504262711,-36.07046901687318,-35.9109320130783,-33.5773152817685,-33.57132321508449,-32.33939036112116,-33.38743009530259
-33.807353006154244,-34.61050279111671,-36.73911809585198,-36.469985862535744,-35.94369273075143,-36.0010889225165,-23.977780580280598,-33.572283270716525,-32.377367204054124,-34.35842359515694
-33.81057222666121,-34.75487221124281,-36.60489769936867,-36.52831228192445,-35.87858498898686,-36.08226537990431,-33.62544992596952,-33.57325937950073,-32.41345667316256,-35.040151030984795
-33.8110523128945,-34.85498109015905,-36.500054686254316,-36.57760912722769,-35.84494974776094,-36.15554665173376,-30.021785804169486,-33.57425203614703,-32.4477842597462,-35.50589205415933
-33.811128402995415,-34.93808035853446,-36.426294834453046,-36.61950891100239,-35.82734725129541,-36.22186841549939,-27.72861299455094,-33.575261807413035,-32.4804642746824,-35.822695611391474
-33.81114057993673,-35.014903208394784,-36.37576051455468,-36.65534236281241,-35.81805977393499,-36.28203867828944,-32.177707018327176,-33.57628921331487,-32.511601280677034,-36.040955811047134
-33.811142202808966,-35.0896990853769,-36.341344623551386,-36.686186533026955,-35.813140821209586,-36.33675579880409,-33.84786540436549,-33.57733484825477,-32.54129233512518,-36.19509712964842
-33.81114274151038,-35.16410748718221,-36.317904442973024,-36.712909542545844,-35.810532075689366,-36.3866234916466,-33.570378671603876,-33.57839932177192,-32.569625699183355,-36.307549074005394
,-35.23868448196511,,-36.73620928441724,,-36.432163563931965,,-33.579483259230535,-32.59668359379664,-36.392616590830855
,-35.31352223367424,,-36.756646689713214,,-36.473827437912945,,-33.58058736538733,-32.622541187871924,-36.45936029198978
,-35.388507058226985,,-36.77467313043653,,-36.51200612199334,,-33.58171223719393,-32.6472686855809,-36.51352869312742
,-35.46343095360217,,-36.790652921012075,,-36.54703888121878,,-33.58285855092534,-32.67093131148789,-36.55879472780141
,-35.538042467189236,,-36.80488137027381,,-36.57922105210981,,-33.58402706568518,-32.693588427629265,-36.59753188510137
,-35.6120711771455,,-36.81759962254767,,-36.60881049881977,,-33.58521849700164,-32.715296427582274,-36.631297513694236
,-35.68524047537581,,-36.82900569618185,,-36.63603381112454,,-33.58643357919023,-32.73610750028956,-36.661134021963505
,-35.75727623787621,,-36.83926369433766,,-36.66109143114372,,-33.58767313397814,-32.75606980371195,-36.687756611989805
,-35.827912611240144,,-36.84851089164318,,-36.68416124900975,,-33.588938007088174,-32.77522845282127,-36.71167117187839
,-35.89689649435076,,-36.85686300992983,,-36.70540282531847,,-33.590228999675425,-32.793626020108825,-36.73324843919879
,-35.96399233276408,,-36.864418505828176,,-36.72495959483761,,-33.5915470044807,-32.81130192301911,-36.75277096240356
,-36.028985277234334,,-36.871262062897145,,-36.74296190479508,,-33.59289301095257,-32.82829305207747,-36.77046278686071
,-36.09168397346398,,-36.87746691994564,,-36.75952838872366,,-33.59426789688508,-32.84463428075352,-36.786508223422416
,-36.151923458286504,,-36.88309717381601,,-36.774767813512206,,-33.59567263741005,-32.86035791054667,-36.80106401334984
,-36.20956653406855,,-36.88820911459904,,-36.78878035053677,,-33.597108307829394,-32.8754940657633,-36.81426699349671
,-36.26450543453195,,-36.89285252490889,,-36.801658469299795,,-33.59857601648452,-32.89007192421051,-36.82623878466206
,-36.316661652978404,,-36.89707172251004,,-36.81348769281802,,-33.60007676193977,-32.904117878307474,-36.837089065561955
,-36.36598597170428,,-36.90090632399004,,-36.824347540280364,,-33.60161179203901,-32.917657939448254,-36.846917732138664
,-36.412457579801966,,-36.904391920585,,-36.83431184508881,,-33.60318224656629,-32.93071556132004,-36.85581613518725
,-36.45608237299905,,-36.907560518751346,,-36.84344913567818,,-33.6047894529847,-32.943313136995585,-36.86386799784217
,-36.496891252047206,,-36.91044101773256,,-36.85182329791658,,-33.60643462779072,-32.955472003695775,-36.871150220949794
,-36.53493735125812,,-36.91305955453905,,-36.85949378558549,,-33.608119180293365,-32.96721219923625,-36.87773332018956
,-36.57029360844329,,-36.91543983832827,,-36.86651579985136,,-33.60984456847711,-32.97855273905315,-36.88368207904903
,-36.6030499155713,,-36.917603391275186,,-36.87294061745214,,-33.611612140152246,-32.989511473737586,-36.88905568578614
,-36.633309764724615,,-36.919569764331,,-36.87881594132691,,-33.6134235267485,-33.00010544026999,-36.89390831022727
,-36.66118777582806,,-36.92135671840386,,-36.88418605959668,,-33.615280334280236,-33.01035016901424,-36.8982893910428
,-36.686806379225494,,-36.92298046283076,,-36.88909197811918,,-33.617184225714986,-33.02026130942471,-36.90224396645174
,-36.71029343575861,,-36.92445571821262,,-36.8935716843353,,-33.61913691913007,-33.02985305257678,-36.905812999431284
,-36.731779613697896,,-36.925795883154464,,-36.89766036068851,,-33.62114027536956,-33.039139046972316,-36.90903372707678
,-36.75139651876504,,-36.92701314713298,,-36.90139051506679,,-33.62319613816355,-33.04813195726262,-36.91193990932657
,-36.76927439121778,,-36.928118658678464,,-36.90479221191566,,-33.62530658941352,-33.056844318089006,-36.914562154834776
,-36.785540935129255,,-36.929122544115536,,-36.907893143117896,,-33.62747360771364,-33.065287487217255,-36.91692816227544
,-36.800319678525014,,-36.93003402361095,,-36.91071882747788,,-33.629699423063826,-33.0734726295033,-36.91906297919647
,-36.81372928434512,,-36.93086152169174,,-36.91329279043244,,-33.63198634493881,-33.08141014436485,-36.92098925872657
,-36.82588257558657,,-36.93161266803014,,-36.91563668077744,,-33.63433676915488,-33.08911038283944,-36.9227274291785
,-36.83688621109822,,-36.932294423305294,,-36.917770369493205,,-33.63675308940781,-33.096582309692664,-36.924295948263335
,-36.846840332431505,,-36.93291310675755,,-36.919712089914185,,-33.639238068825904,-33.10383548581703,-36.925711496315195
,-36.8558382754674,,-36.93347452151348,,-36.92147866462356,,-33.64179429227275,-33.11087818304048,-36.92698908844667
,-36.863966799325766,,-36.93398390093096,,-36.923085412944694,,-33.64442472981436,-33.117718601539806,-36.92814227547628
,-36.87130603730907,,-36.93444600694703,,-36.9245464350213,,-33.64713246646968,-33.12436470238183,-36.929183254145016
,-36.877929777072424,,-36.934865203518875,,-36.925874640422236,,-33.64992061066675,-33.13082379132287,-36.9301230430634
,-36.883905707086925,,-36.93524543467414,,-36.927081828267305,,-33.6527923952951,-33.13710297329207,-36.930971547266694
,-36.88929571726894,,-36.93559027786963,,-36.92817876291433,,-33.65575148351074,-33.14320899984837,-36.93173771806773
,-36.89415625505704,,-36.93590302044346,,-36.92917534871216,,-33.65880137715965,-33.14914844220848,-36.93242960139666
,-36.89853868163321,,-36.93618661258179,,-36.93008057439243,,-33.66194603413221,-33.15492760412484,-36.933054484317296
,-36.902489670032864,,-36.93644375132875,,-36.93090265138192,,-33.66518946767016,-33.16055201698377,-36.93361889056385
,-36.9060515081876,,-36.9366768866185,,-36.93164911943997,,-33.66853596700802,-33.16602756352148,-36.93412874173072
,-36.90926249229245,,-36.936888244549934,,-36.932326809019514,,-33.671990110662755,-33.17135965086366,-36.9345893337725
,-36.912157207237655,,-36.93707984663024,,-36.93294196761775,,-33.675556557522384,-33.17655320714143,-36.935005477096816
,-36.914766977504485,,-36.93725352385198,,-36.933500274432646,,-33.67924027597503,-33.18161325470219,-36.93538148172101
,-36.91711999423862,,-36.937410948171674,,-36.934006923119405,,-33.68304656828826,-33.18654467134127,-36.93572125766023
,-36.91924167596934,,-36.937553632890875,,-36.93446663188819,,-33.686980843934485,-33.19135163384664,-36.93602832347939
,-36.92115497680534,,-36.937682945449296,,-36.934883704978084,,-33.6910491049059,-33.196038684187194,-36.93630584146619
,-36.922880538877436,,-36.93780013498565,,-36.93526204886969,,-33.69525750017781,-33.20060996306288,-36.936556678211765
,-36.924436983069455,,-36.93790633705131,,-36.93560521824412,,-33.69961245466099,-33.20506944824492,-36.93678341500171
,-36.92584104306303,,-36.93800256623819,,-36.93591645493644,,-33.70412092490287,-33.20942079814842,-36.93698838975749
,-36.92710779023543,,-36.9380897639566,,-36.9361987039547,,-33.70879006371054,-33.213667741151156,-36.93717369593943
,-36.92825084013864,,-36.93816876984061,,-36.9364546454947,,-33.71362773062878,-33.21781364905977,-36.93734123503899
,-36.92928239147361,,-36.93824035336312,,-36.93668671492939,,-33.718641895126886,-33.221862045008905,-36.93749272158971
,-36.93021342596409,,-36.9383052130416,,-36.936897117638324,,-33.723841289197885,-33.22581610785644,-36.93762969637361
,-36.93105384382338,,-36.93836396823954,,-36.93708786131466,,-33.72923492767475,-33.229678868291344,-36.937753562119234
,-36.93181257331288,,-36.938417196544385,,-36.93726076317371,,-33.73483238172222,-33.23345331091012,-36.93786557706441
,-36.93249764702201,,-36.93846541799901,,-36.937417492381215,,-33.740643966004995,-33.23714230362934,-36.93796688337935
,-36.933116292285355,,-36.938509099920644,,-36.937559547401285,,-33.74668049555423,-33.24074840606098,-36.93805850381694
,-36.93367498429083,,-36.93854867014407,,-36.93768829608131,,-33.752953452899824,-33.24427431901718,-36.938141369265324
,-36.93417961978222,,-36.93858451473493,,-36.937804971891964,,-33.7594750323126,-33.24772266028407,-36.93821632364194
,-36.934635459435285,,-36.93861697790118,,-36.93791071042878,,-33.76625802958621,-33.25109573260657,-36.93828412158595
,-36.935047282525154,,-36.93864638596104,,-36.938006523134085,,-33.77331618813423,-33.25439602590295,-36.93834545091237
,-36.93541936859113,,-36.93867301792581,,-36.938093348377144,,-33.78066408752746,-33.25762570229185,-36.93840092673767
,-36.935755571198236,,-36.93869713962114,,-36.93817201533213,,-33.788317213351235,-33.2607868827673,-36.93845111564531
,-36.93605940204422,,-36.93871898879598,,-36.93824329309219,,-33.79629183518989,-33.26388162659801,-36.938496517160125
,-36.93633397985318,,-36.93873877696995,,-36.93830787031375,,-33.8046055459934,-33.26691191229454,-36.938537594314305
,-36.93658215799425,,-36.93875669764047,,-36.93836637238607,,-33.81327667631983,-33.269879861063295,-36.938574757828334
,-36.93680648578696,,-36.938772927608646,,-36.93841937420784,,-33.822325195449416,-33.27278717712822,-36.938608382772195
,-36.93700927498367,,-36.93878762555204,,-36.93846738949691,,-33.83177176461313,-33.275635456852136,-36.938638801997946
,-36.93719260396462,,-36.93880093696922,,-36.938510882921065,,-33.841638827876665,-33.27842668104247,-36.93866632945656
,-36.93735835137315,,-36.938812989162344,,-36.93855028185823,,-33.85195000842717,-33.2811623687499,-36.938691233100556
,-36.937508206558704,,-36.938823904814626,,-36.9385859709476,,-33.862730555374874,-33.28384420763236,-36.938713766997964
,-36.93764370747287,,-36.938833790079464,,-36.93861829882713,,-33.87400722202486,-33.28647381817843,-36.93873415946888
,-36.937766238574305,,-36.9388427418811,,-36.9386475796745,,-33.88580837380312,-33.28905240320126,-36.93875261414807
,-36.93787704855235,,-36.938850847530134,,-36.93867410171101,,-33.89816447906927,-33.29158170777742,-36.93876931402523
,-36.937977260281926,,-36.93885818669881,,-36.93869812059493,,-33.911107585240785,-33.294062840911884,-36.93878442283536
,-36.93806789555312,,-36.93886483161261,,-36.938719874385164,,-33.924671866177434,-33.296497283625094,-36.938798097687965
,-36.93814986986996,,-36.93887084923707,,-36.93873957723696,,-33.938893462513654,-33.29888627813544,-36.93881047112265
,-36.93822401052183,,-36.93887629879255,,-36.93875742239148,,-33.95381107110997,-33.30123121175543,-36.93882167111124
,-36.93829107445112,,-36.93888123384534,,-36.93877358509997,,-33.969465370498014,-33.30353306382588,-36.93883180630166
,-36.93835174264855,,-36.93888570201598,,-36.93878822060252,,-33.98589959473101,-33.30579317461287,-36.93884097852774
,-36.938406617765004,,-36.93888974672803,,-36.93880147408598,,-34.00315936433173,-33.3080124843455,-36.93884928096522
,-36.9384562614323,,-36.938893409774494,,-36.938813475527674,,-34.021293056853466,-33.31019225333585,-36.93885679320238
,-36.938501175443655,,-36.938896725868986,,-36.93882434638249,,-34.04035163257344,-33.31233336816143,-36.938863591515464
,-36.938541806899785,,-36.938899728711085,,-36.93883419004737,,-34.06038872740935,-33.31443701399356,-36.93886974479643
,-36.93857856733149,,-36.93890244715518,,-36.93884310370909,,-34.081460700185474,-33.316504044266146,-36.93887531441067
,-36.93861182920729,,-36.938904909551596,,-36.93885117353277,,-34.103626682221645,-33.31853542412594,-36.938880355791376
,-36.938641921938064,,-36.93890713846379,,-36.9388584818051,,-34.126948326503914,-33.32053212743536,-36.93888491824705
,-36.93866915184276,,-36.93890915662533,,-36.938865100244044,,-34.151490009571056,-33.32249490788632,-36.93888904702113
,-36.93869378877967,,-36.938910983216225,,-36.938871093647634,,-34.17731825085185,-33.3244246792802,-36.93889278488447
,-36.93871608007185,,-36.938912637188444,,-36.93887652033218,,-34.20450186366149,-33.32632231651898,-36.938896167723335
,-36.93873625130875,,-36.938914134578845,,-36.93888143415493,,-34.23311110068269,-33.32818854578357,-36.93889923000821
,-36.938754505160404,,-36.93891549091727,,-36.93888588263353,,-34.26321810352942,-33.330024202281486,-36.93890200181577
,-36.93877102225825,,-36.93891671899558,,-36.938889911118615,,-34.29489519667197,-33.331830100736646,-36.93890451020432
,-36.93878596881808,,-36.938917830984686,,-36.93889355908532,,-34.32821547056908,-33.33360691174597,-36.93890678050515
,-36.938799496281185,,-36.93891883717756,,-36.938896861176616,,-34.363250483834406,-33.33535525988936,-36.93890883588098
,-36.938811737169985,,-36.93891974819398,,-36.93889985074864,,-34.40007056893908,-33.33707592326676,-36.93891069587883
