LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-36.14842252088701,-35.25959448599565,-35.70656356906647,-37.65562368695208,-37.97162881749124,-36.96435484382979,-35.6513399369847,-35.064888721752006,-33.70030588430605,-33.506819784166694
-35.102052067644344,-35.25959448599565,-37.985963055247566,-37.65562368695208,-37.658674708299614,-36.96435484382979,-34.044276416993874,-35.064888721752006,-33.70030588430605,-33.506819784166694
-35.238500095396674,-35.83242656704636,-38.30292468101431,-37.76537554655595,-37.370766981994315,-37.10487525695119,-34.34454223628431,-35.069309382427576,-33.75011084408917,-34.952572494096025
-35.25633082322512,-36.074062941657395,-38.15711951984715,-37.856212456386736,-37.194971775609005,-37.22910424527603,-34.58723978695928,-35.07363644261033,-33.79719871040247,-35.981897011900166
-35.259103004859725,-36.20073350402514,-37.99086753750603,-37.93160097653786,-37.093324514013126,-37.33941288345936,-23.019393387252126,-35.07788122091126,-33.84175803536764,-36.6705249781954
-35.25951799767696,-36.28873259174328,-37.86647101266941,-37.99444132698466,-37.034872663486674,-37.43775973333161,-35.50509380314016,-35.08205454099574,-33.883962050787886,-37.11942318193549
-35.25958232253289,-36.3640539013291,-37.780461732601005,-38.047119480493244,-37.00125551629811,-37.525774102888754,-35.02129921956249,-35.08616667175469,-33.92396884714548,-37.41268821666956
-35.25959255356351,-36.43568114740462,-37.722058700921096,-38.09157293389842,-36.98190950695287,-37.60482016675238,-23.811067164585484,-35.090227416968176,-33.96192343392918,-37.60857446807087
-35.259594131776424,-36.50673866136209,-37.68248855058832,-38.12935867554906,-36.97077104792896,-37.67604652771673,-22.34867625086678,-35.094246223676954,-33.99795902550062,-37.74415201235961
-35.25959448599565,-36.57825928743964,-37.65562368695208,-38.16171913570347,-36.96435484382979,-37.740424086867,-35.064888721752006,-35.098232202558535,-34.03219729241272,-37.84214037695899
,-36.65049978758692,,-38.189641246445724,,-37.798776117140186,,-35.10219409090926,-34.06475152362565,-37.91628035508323
,-36.723415129954994,,-38.21390689912034,,-37.8518028564281,,-35.106140428411955,-34.09572584305667,-37.97487915825632
,-36.796836413049455,,-38.235136091409714,,-37.90010100314596,,-35.110079530130804,-34.12521719952839,-38.02299409814904
,-36.870539485082986,,-38.253821428232946,,-37.944180429601346,,-35.11401947554078,-34.153314142985316,-38.06373999838479
,-36.94427392706613,,-38.27035620130306,,-37.98447843972678,,-35.11796833473609,-34.18009994664052,-38.09906616004074
,-37.01777602254149,,-38.285056078216385,,-38.021371085265564,,-35.12193386643167,-34.2056512138903,-38.13021799091249
,-37.09077668337795,,-38.29817661236018,,-38.05518388270117,,-35.12592389088608,-34.230039469446254,-38.15801265315021
,-37.163005797697465,,-38.30992670144386,,-38.086199768019355,,-35.1299461186817,-34.253331570914945,-38.18300467261903
,-37.23419694774576,,-38.32047837549949,,-38.11466652548958,,-35.13400832463614,-34.27558899784056,-38.205586410193206
,-37.30409207583194,,-38.329975272859315,,-38.140802931785245,,-35.13811824087985,-34.29686974062748,-38.226048440649556
,-37.372444004446244,,-38.33853837595553,,-38.16480324104984,,-35.14228357380091,-34.317227581548266,-38.24461698642914
,-37.4390210610372,,-38.346270558387225,,-38.18684150495054,,-35.14651218005266,-34.336713406870516,-38.26147655696008
,-37.50360989459898,,-38.353260358149555,,-38.20707476801086,,-35.15081204854512,-34.35537388196525,-38.27678374420289
,-37.56601855516399,,-38.35958457036893,,-38.22564521793324,,-35.155191301777485,-34.373253129307066,-38.290675729158764
,-37.626079142692454,,-38.36531024912944,,-38.242683035446554,,-35.15965805666238,-34.390392539085816,-38.30327540958606
,-37.68364921727934,,-38.370496590740636,,-38.258307499050886,,-35.16422082661572,-34.40683089448333,-38.314694550376124
,-37.738613730340646,,-38.37519601822929,,-38.27262842385323,,-35.16888835985187,-34.42260449269761,-38.32503568373552
,-37.79088548098056,,-38.379455234689516,,-38.285747197645314,,-35.173669479948714,-34.437747430959774,-38.33439334911868
,-37.84040528547894,,-38.383316047607416,,-38.29775763703813,,-35.178573412057894,-34.452292054469595,-38.34285486421995
,-37.887141385994596,,-38.38681594284575,,-38.30874685418762,,-35.18360971209338,-34.46626818933575,-38.3505007712313
,-37.93108822897421,,-38.38998870478694,,-38.31879560542968,,-35.18878830078104,-34.479704319630294,-38.35740549694442
,-37.97226512376301,,-38.3928648246741,,-38.32797884181313,,-35.19411951955322,-34.49262662625303,-38.36363744215294
,-38.01071397829192,,-38.39547191107873,,-38.33636601014398,,-35.199614146265276,-34.50506088891464,-38.36925945339961
,-38.04649704983356,,-38.397834877608204,,-38.34402167976522,,-35.205283325519076,-34.517030469394896,-38.37432916669744
,-38.07969394343981,,-38.39997638992177,,-38.35100566609237,,-35.211138956884845,-34.52855762440738,-38.378899247205304
,-38.11039918088423,,-38.40191698511412,,-38.35737346570839,,-35.2171932797635,-34.53966356076596,-38.383017781648434
,-38.13871940029136,,-38.40367527877034,,-38.36317626356391,,-35.22345939607804,-34.55036779862978,-38.386728471171615
,-38.16477030249841,,-38.405268197482805,,-38.36846154666551,,-35.22995093514662,-34.56068929650682,-38.39007112649008
,-38.188674178782605,,-38.40671107372721,,-38.373273068409866,,-35.23668226043577,-34.57064580050858,-38.39308179654613
,-38.210557347412454,,-38.408017901998285,,-38.37765130980776,,-35.2436686176267,-34.58025427480154,-38.39579318161597
,-38.23054790445174,,-38.40920130612726,,-38.38163348006859,,-35.25092609443436,-34.58953020075621,-38.39823488256739
,-38.24877398848574,,-38.410272832949666,,-38.38525390203954,,-35.258471812584276,-34.598488745825414,-38.40043361012088
,-38.26536167501981,,-38.41124290706456,,-38.38854412112279,,-35.2663237185748,-34.60714405177168,-38.4024135498576
,-38.28043396188451,,-38.41212105147483,,-38.3915331060217,,-35.27450091381304,-34.61550935451783,-38.40419643378703
,-38.29410948470477,,-38.412915866674275,,-38.394247483351954,,-35.2830237812619,-34.623597637631995,-38.40580194050556
,-38.30650161589717,,-38.4136351625045,,-38.396711660714246,,-35.291913714097994,-34.63142068739007,-38.40724777042594
,-38.317717987861286,,-38.414286043009525,,-38.39894799448623,,-35.301193675746475,-34.63899009958045,-38.408549862470636
,-38.32785994558029,,-38.414874965801644,,-38.40097690780164,,-35.31088819261422,-34.64631701745614,-38.40972258393716
,-38.337022414771326,,-38.41540775696151,,-38.40281715467324,,-35.32102305072988,-34.6534111427954,-38.410778842885556
,-38.34529370117101,,-38.41588972565278,,-38.40448579699371,,-35.33162578096922,-34.66028273797181,-38.41173028723768
,-38.352755737038066,,-38.41632566959579,,-38.40599848804674,,-35.342725896185144,-34.66694074479492,-38.412587363828536
,-38.35948401058445,,-38.41671993708755,,-38.40736946472908,,-35.35435472206459,-34.673394321968644,-38.41335950410882
,-38.36554787143197,,-38.417076504769675,,-38.40861174621413,,-35.36654545841223,-34.67965141327194,-38.414055187034236
,-38.371010961177824,,-38.41739893550969,,-38.40973715007186,,-35.3793338930369,-34.685720184956736,-38.41468201374413
,-38.375931343872125,,-38.417690479959404,,-38.410756496553695,,-35.39275756927337,-34.691608225012544,-38.41524685168176
,-38.3803618631084,,-38.417954077489554,,-38.411679616337516,,-35.40685712953672,-34.697322829653345,-38.41575588440002
,-38.38435057692929,,-38.41819237792871,,-38.412515417277795,,-35.42167519490153,-34.70287071838671,-38.41621464521875
,-38.38794109576171,,-38.41840781343965,,-38.413272062222795,,-35.43725760372125,-34.70825865223708,-38.41662815007348
,-38.3911728688048,,-38.41860254896539,,-38.41395693094496,,-35.45365287125842,-34.71349257982486,-38.417000875552546
,-38.39408165389422,,-38.41877856658674,,-38.41457674995669,,-35.47091256727933,-34.718578758579355,-38.41733687183462
,-38.39669964411405,,-38.41893765869493,,-38.415137630393495,,-35.48909148964328,-34.72352269165297,-38.417639779109614
,-38.39905591867987,,-38.419081447012,,-38.4156451070437,,-35.50824750504397,-34.72832968358981,-38.417912874341035
,-38.401176723301866,,-38.41921139622063,,-38.41610421174089,,-35.528442199421775,-34.73300484797282,-38.41815911546038
,-38.40308568474608,,-38.41932882847492,,-38.416519491596,,-35.5497399430795,-34.73755309429252,-38.41838114644482
,-38.40480404500297,,-38.419434942272254,,-38.41689511502583,,-35.57220899846474,-34.741979176997006,-38.41858136159129
,-38.40635096515818,,-38.41953082926381,,-38.417234821070444,,-35.5959210550425,-34.74628766095156,-38.418761919245526
,-38.407743654165344,,-38.41961746900503,,-38.41754200831611,,-35.62095066852402,-34.75048273007996,-38.418924758550446
,-38.4089976034881,,-38.4196957518951,,-38.41781977765734,,-35.647375756288994,-34.75456864002151,-38.41907162087806
,-38.410126734368355,,-38.41976648390343,,-38.41807092325762,,-35.67527716882533,-34.75854903145434,-38.419204090459075
,-38.41114357682929,,-38.41983038850001,,-38.418297983732636,,-35.70473821747875,-34.7624278834381,-38.4193235757586
,-38.41205938387181,,-38.41988812139407,,-38.41850324062315,,-35.7358440278199,-34.7662086007343,-38.41943134995107
,-38.41288425993336,,-38.41994027412568,,-38.418688789047444,,-35.76868083655326,-34.76989466305932,-38.4195285712212
,-38.413627321186425,,-38.41998739028713,,-38.418856497663796,,-35.803335281573595,-34.773489450506425,-38.41961627652391
,-38.41429674485023,,-38.42002994772842,,-38.41900808080842,,-35.83989347789232,-34.77699579230792,-38.41969539962123
,-38.414899889440974,,-38.42006839586462,,-38.4191450833909,,-35.87843936108315,-34.780417076004156,-38.419766784105384
,-38.41544335397855,,-38.420103122743775,,-38.41926889089031,,-35.91905313984824,-34.78375591580475,-38.41983119153923
,-38.41593310021825,,-38.4201344898285,,-38.419380772662656,,-35.961809689378946,-34.78701507236424,-38.41988929979841
,-38.41637447610117,,-38.42016282205185,,-38.419481881371034,,-36.00677542685254,-34.79019721714808,-38.41994173291653
,-38.41677228954793,,-38.420188412205405,,-38.41957323684228,,-36.05400682068794,-34.79330491918912,-38.419989041402225
,-38.417130861159215,,-38.42021152806099,,-38.419655781610594,,-36.10354725872661,-34.79634068165587,-38.42003173135962
,-38.417454097729745,,-38.4202324049173,,-38.419730368754706,,-36.15542354471475,-34.79930671069091,-38.420070248894746
,-38.41774550828289,,-38.42025125976614,,-38.419797755829244,,-36.20964353726047,-34.80220535970408,-38.42010500845558
,-38.418008230148594,,-38.42026828959542,,-38.41985863799035,,-36.26619195481188,-34.8050386952832,-38.420136374833845
,-38.418245111521166,,-38.42028367167999,,-38.41991363714335,,-36.32502706707624,-34.80780891580481,-38.42016468289484
,-38.418458711819156,,-38.420297560479106,,-38.41996332153918,,-36.386078776206865,-34.81051776622712,-38.420190226373386
,-38.41865132987205,,-38.42031010432644,,-38.420008206179304,,-36.44924436624728,-34.81316733685368,-38.420213281153465
,-38.418825032166495,,-38.42032143272935,,-38.4200487543467,,-36.5143873153881,-34.81575944967594,-38.42023408549116
,-38.41898169105583,,-38.42033166309067,,-38.42008537943545,,-36.58133577834871,-34.81829568626812,-38.42025286392279
,-38.41912297940506,,-38.420340903778644,,-38.42011846586707,,-36.649881422153506,-34.82077795168506,-38.42026981143353
,-38.41925041701015,,-38.42034924779235,,-38.420148348889136,,-36.719782487359524,-34.82320772791714,-38.42028510498713
,-38.41936536561489,,-38.42035678323419,,-38.42017534017696,,-36.79076399670423,-34.825586635667285,-38.42029890949363
,-38.41946905526769,,-38.420363587867776,,-38.420199721114,,-36.862522395638194,-34.827916261795444,-38.42031136929483
,-38.41956258646474,,-38.420369732421356,,-38.42022174249419,,-36.934731799927164,-34.830197942408795,-38.42032261512156
,-38.41964696976984,,-38.42037528036393,,-38.420241631482256,,-37.00704907638662,-34.83243316517606,-38.42033276376917
,-38.41972309215012,,-38.42038029090181,,-38.42025959519175,,-37.07912257734052,-34.8346232014285,-38.420341925158034
,-38.41979176791934,,-38.42038481441453,,-38.420275818814545,,-37.15059975564825,-34.83676945882063,-38.420350193030885
,-38.419853731855824,,-38.42038889918616,,-38.42029046854587,,-37.22113490518106,-34.83887313471482,-38.42035765654398
,-38.419909638918945,,-38.4203925885843,,-38.42030370024681,,-37.29039875536659,-34.84093539378005,-38.420364393817614
,-38.41996008002941,,-38.420395919388824,,-38.42031564903467,,-37.358084506490584,-34.84295736899005,-38.420370474618025
,-38.420005599183355,,-38.42039892684817,,-38.42032644143887,,-37.42391501812391,-34.84494014999829,-38.42037596391258
,-38.42004667253034,,-38.42040164285154,,-38.42033618760133,,-37.487647428803484,-34.846884972857616,-38.420380919470716
,-38.420083735372614,,-38.42040409516718,,-38.42034498840938,,-37.54907588936175,-34.84879271531597,-38.42038539190748
,-38.42011718028459,,-38.42040630948152,,-38.420352936139246,,-37.608033684340974,-34.8506645535363,-38.42038942928981
,-38.42014735807618,,-38.42040830878079,,-38.42036011235925,,-37.66439398157185,-34.85250130130591,-38.420393073487816
,-38.42017459277709,,-38.42041011431188,,-38.42036659389603,,-37.71806773290329,-34.85430407881978,-38.42039636344324
