LSTM-QAOA,QAOA after LSTM,QK-QAOA,QAOA after QK,QLSTM-QAOA,QAOA after QLSTM,FWP-QAOA,QAOA after FWP,QAOA Random 1,QAOA Random 2
-42.765647855585215,-41.611686334231834,-42.314179308160654,-42.53037435701169,-43.34013322245832,-42.674411223247134,-42.074027983277766,-21.973430522315304,-34.56517321331559,-39.65929391370891
-41.54220611849121,-41.611686334231834,-44.42943687243598,-42.53037435701169,-42.922003916143524,-42.674411223247134,-28.301134682697384,-21.973430522315304,-34.56517321331559,-39.65929391370891
-41.60129702955822,-42.21912529355707,-44.202748392265036,-43.0117531248305,-42.782767031168305,-42.91221040984561,-32.21629470481413,-22.066783147940633,-34.8290476983926,-41.851179219911394
-41.61016079798348,-42.31081508996163,-43.665194605406455,-43.36966622500188,-42.72410820356678,-43.106036531221335,-32.81000235516301,-22.219495999490235,-35.08594526900118,-43.00157003230798
-41.61146401343618,-42.357356055846914,-43.252820289206916,-43.63296404853756,-42.69801198657229,-43.266118442495475,-40.96253406520935,-22.459106227248743,-35.335603601955036,-43.55379765296912
-41.61165355380918,-42.40078002489751,-42.97424661784598,-43.82634748508821,-42.685766219060184,-43.40064588948416,-35.81352185802372,-22.81644508786589,-35.57779119746356,-43.82434343770917
-41.61168143517262,-42.44514864113001,-42.78983042156313,-43.969314682152884,-42.679776290063195,-43.51588702690348,-26.651282581865317,-23.319036910633628,-35.81230986630998,-43.96860219607756
-41.611685589320764,-42.49086895578405,-42.6673974368833,-44.076436106397246,-42.67676172148812,-43.61646880417568,-41.59462772879238,-23.9827304210207,-36.03899731106598,-44.05546230309597
-41.61168622200262,-42.5379544133611,-42.585518291667555,-44.15820438577705,-42.675213912530836,-43.70570938306148,-37.87092668989692,-24.805979493741006,-36.25772789450377,-44.11514948653181
-41.611686334231834,-42.586367765900285,-42.53037435701169,-44.22199466423578,-42.674411223247134,-43.78593773356264,-21.973430522315304,-25.770277344657323,-36.468410337052944,-44.16116796503644
,-42.63605737796783,,-44.27291380776738,,-43.85876520347122,,-26.845565359447125,-36.67099637335793,-44.19970360481365
,-42.68696183749654,,-44.31447325029344,,-43.92530318554956,,-27.996302024455385,-36.865475007787175,-44.23366421675137
,-42.73901123460045,,-44.349085630719834,,-43.98632615304046,,-29.185645535065547,-37.05188130686916,-44.26445447039396
,-42.7921256618354,,-44.37841699496505,,-44.04239027148393,,-30.378221851580875,-37.23029366220559,-44.292776282519405
,-42.846215966849485,,-44.40363020954772,,-44.09391463137805,,-31.54257290349678,-37.40083455036241,-44.318998884200845
,-42.90118353819138,,-44.42554991567685,,-44.1412353993857,,-32.65322969951233,-37.563671374769996,-44.343333080773604
,-42.95692136513431,,-44.44477306577194,,-44.18464061678626,,-33.69184574873507,-37.71901039689641,-44.36591488283757
,-43.013313741680065,,-44.4617423783506,,-44.22439040286767,,-34.64714020858752,-37.86709796838736,-44.3868460695541
,-43.07023718534113,,-44.476794870706755,,-44.26072907742745,,-35.51391635947224,-38.0082108086687,-44.406213411468755
,-43.127560924554174,,-44.49019440223638,,-44.29389055265497,,-36.291697200176394,-38.142650535012706,-44.42409788552405
,-43.18514812703432,,-44.50215275679421,,-44.324100674000746,,-36.98333691773686,-38.270740351677546,-44.44057855864894
,-43.242856374126596,,-44.51284423691553,,-44.35157758204095,,-37.593848654746196,-38.392814248196075,-44.45573424901108
,-43.30053931251191,,-44.522415199422866,,-44.37653128163653,,-38.12949500773656,-38.509212884846164,-44.46964352882833
,-43.35804707264356,,-44.53099054754352,,-44.399162597231545,,-38.59711637460708,-38.62027574514262,-44.48238457372762
,-43.415228424339844,,-44.538678447405516,,-44.41966237895481,,-39.00367923415931,-38.72633701350984,-44.49403455001762
,-43.47193133575539,,-44.545573330829505,,-44.43821087834009,,-39.3559632661722,-38.82772069943471,-44.50466897528559
,-43.528004955833644,,-44.55175860707898,,-44.45497719194222,,-39.660370621911945,-38.92473663657907,-44.51436122702157
,-43.583300674421494,,-44.55730808579454,,-44.47011913503036,,-39.922813590457935,-39.01768001545202,-44.52318204317099
,-43.63767391252045,,-44.562287560284965,,-44.483783353997154,,-40.14866438926033,-39.106825766745594,-44.53119914547862
,-43.690985107052235,,-44.5667556772876,,-44.496105279199,,-40.34274154840907,-39.19243269186103,-44.538476849950264
,-43.7431016823815,,-44.570764921415616,,-44.50720973563233,,-40.509320350539454,-39.27473858148439,-44.545076022447795
,-43.79389882306023,,-44.57436236662495,,-44.51721149652787,,-40.652169633938136,-39.35396321619135,-44.55105382863993
,-43.8432609657699,,-44.577590140612955,,-44.52621549781838,,-40.77458744205534,-39.43030712291925,-44.556463801280586
,-43.89108322176567,,-44.58048617641401,,-44.53431770912414,,-40.8794419521342,-39.50395305648848,-44.56135575866933
,-43.937271732220104,,-44.583084423093744,,-44.54160550431757,,-40.96922175372914,-39.57506840944345,-44.5657759641942
